"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Gathering Stone","","U","61020","3.75","21544","4.07","719","61.2%","53.5%","119","","169","","288","","432","",""
"Mirrormind Crown","","R","46102","5.53","5323","8.65","69","10.2%","","13","","23","","36","","33","",""
"Puca's Eye","","U","121380","6.87","17931","9.66","255","13.9%","","51","","72","","123","","132","",""
"Springleaf Drum","","U","115714","6.34","13356","9.44","257","17.4%","","38","","68","","106","","151","",""
"Stalactite Dagger","","C","310953","6.96","38362","10.21","1295","29.3%","49.8%","221","","325","","546","48.9%","749","50.5%","-1.6pp"
"Blood Crypt","","R","34490","4.19","5939","5.81","375","50.3%","","66","","101","","167","","205","",""
"Eclipsed Realms","","U","104434","5.33","12722","7.97","523","48.4%","49.5%","92","","120","","212","","310","",""
"Evolving Wilds","","C","239054","4.62","49219","6.38","5007","94.2%","52.3%","945","55.4%","1199","50.8%","2144","52.8%","2858","52.0%","0.9pp"
"Hallowed Fountain","","R","32331","3.97","6160","5.34","264","40.1%","","49","","70","","119","","144","",""
"Overgrown Tomb","","R","30193","3.75","5910","4.95","18","","","4","","2","","6","","12","",""
"Steam Vents","","R","33711","4.07","6608","5.45","280","35.9%","","49","","72","","121","","157","",""
"Temple Garden","","R","31290","3.86","5611","5.21","264","47.1%","","52","","69","","121","","140","",""
"Idyllic Tutor","W","R","2366","5.43","270","","6","","","3","","1","","4","","2","",""
